"","Grid_ID","Count_PV","Count_gaze","Count_est_PV","sra_p","PV_p","sra_percent","PV_percent","geometry"
"1",13,13,66,64,0.96969696969697,0.196969696969697,"97.0%","19.7%",list(c(-1.395322794133, -1.391052311587, -1.391052311587, -1.395322794133, -1.395322794133, 50.947837766956, 50.947837766956, 50.945803451191, 50.945803451191, 50.947837766956))
"2",51,1,133,124,0.932330827067669,0.0075187969924812,"93.2%","0.8%",list(c(-1.38678182904, -1.382511346493, -1.382511346493, -1.38678182904, -1.38678182904, 50.943769135426, 50.943769135426, 50.941734819661, 50.941734819661, 50.943769135426))
"3",134,4,193,145,0.751295336787565,0.0207253886010363,"75.1%","2.1%",list(c(-1.446568584693, -1.442298102147, -1.442298102147, -1.446568584693, -1.446568584693, 50.935631872367, 50.935631872367, 50.933597556602, 50.933597556602, 50.935631872367))
"4",173,0,138,125,0.905797101449275,0,"90.6%","0.0%",list(c(-1.391052311587, -1.38678182904, -1.38678182904, -1.391052311587, -1.391052311587, 50.933597556602, 50.933597556602, 50.931563240837, 50.931563240837, 50.933597556602))
"5",502,5,117,101,0.863247863247863,0.0427350427350427,"86.3%","4.3%",list(c(-1.34834748612, -1.344077003573, -1.344077003573, -1.34834748612, -1.34834748612, 50.911220083189, 50.911220083189, 50.909185767424, 50.909185767424, 50.911220083189))
"6",528,2,224,150,0.669642857142857,0.00892857142857143,"67.0%","0.9%",list(c(-1.369699898853, -1.365429416307, -1.365429416307, -1.369699898853, -1.369699898853, 50.909185767424, 50.909185767424, 50.907151451659, 50.907151451659, 50.909185767424))
"7",585,1,239,184,0.769874476987448,0.00418410041841004,"77.0%","0.4%",list(c(-1.352617968667, -1.34834748612, -1.34834748612, -1.352617968667, -1.352617968667, 50.905117135894, 50.905117135894, 50.903082820129, 50.903082820129, 50.905117135894))
"8",650,16,263,226,0.859315589353612,0.0608365019011407,"85.9%","6.1%",list(c(-1.34834748612, -1.344077003573, -1.344077003573, -1.34834748612, -1.34834748612, 50.899014188599, 50.899014188599, 50.896979872834, 50.896979872834, 50.899014188599))
"9",674,0,172,46,0.267441860465116,0,"26.7%","0.0%",list(c(-1.391052311587, -1.38678182904, -1.38678182904, -1.391052311587, -1.391052311587, 50.89494555707, 50.89494555707, 50.892911241305, 50.892911241305, 50.89494555707))
"10",692,2,76,50,0.657894736842105,0.0263157894736842,"65.8%","2.6%",list(c(-1.3739703814, -1.369699898853, -1.369699898853, -1.3739703814, -1.3739703814, 50.892911241305, 50.892911241305, 50.89087692554, 50.89087692554, 50.892911241305))
